ANO,UFCOD,IDADE,SEXO,POPULACAO
2000,11,A0000,M,16172
2000,11,A0101,M,16164
2000,11,A0202,M,16150
2000,11,A0303,M,16092
2000,11,A0404,M,16046
2000,11,A0505,M,16010
2000,11,A0606,M,16015
2000,11,A0707,M,16042
2000,11,A0808,M,16045
2000,11,A0909,M,16002
2000,11,A1010,M,15950
2000,11,A1111,M,15900
2000,11,A1212,M,15850
2000,11,A1313,M,15784
2000,11,A1414,M,15683
2000,11,A1515,M,15530
2000,11,A1616,M,15318
2000,11,A1717,M,15055
2000,11,A1818,M,14806
2000,11,A1919,M,14560
2000,11,A2020,M,14258
2000,11,A2121,M,13902
2000,11,A2222,M,13488
2000,11,A2323,M,13042
2000,11,A2424,M,12618
2000,11,A2525,M,12244
2000,11,A2626,M,11971
2000,11,A2727,M,11766
2000,11,A2828,M,11590
2000,11,A2929,M,11410
2000,11,A3030,M,11247
2000,11,A3131,M,11114
2000,11,A3232,M,10988
2000,11,A3333,M,10856
2000,11,A3434,M,10696
2000,11,A3535,M,10494
2000,11,A3636,M,10220
2000,11,A3737,M,9902
2000,11,A3838,M,9608
2000,11,A3939,M,9242
2000,11,A4040,M,8858
2000,11,A4141,M,8470
2000,11,A4242,M,8089
2000,11,A4343,M,7708
2000,11,A4444,M,7336
2000,11,A4545,M,6964
2000,11,A4646,M,6590
2000,11,A4747,M,6246
2000,11,A4848,M,5920
2000,11,A4949,M,5618
2000,11,A5050,M,5332
2000,11,A5151,M,5074
2000,11,A5252,M,4813
2000,11,A5353,M,4560
2000,11,A5454,M,4318
2000,11,A5555,M,4078
2000,11,A5656,M,3848
2000,11,A5757,M,3644
2000,11,A5858,M,3486
2000,11,A5959,M,3346
2000,11,A6060,M,3234
2000,11,A6161,M,3125
2000,11,A6262,M,3000
2000,11,A6363,M,2844
2000,11,A6464,M,2668
2000,11,A6565,M,2484
2000,11,A6666,M,2320
2000,11,A6767,M,2154
2000,11,A6868,M,2018
2000,11,A6969,M,1898
2000,11,A7070,M,1786
2000,11,A7171,M,1673
2000,11,A7272,M,1550
2000,11,A7373,M,1416
2000,11,A7474,M,1288
2000,11,A7575,M,1148
2000,11,A7676,M,1020
2000,11,A7777,M,900
2000,11,A7878,M,788
2000,11,A7979,M,684
2000,11,A8080,M,588
2000,11,A8181,M,501
2000,11,A8282,M,421
2000,11,A8383,M,350
2000,11,A8484,M,289
2000,11,A8585,M,240
2000,11,A8686,M,204
2000,11,A8787,M,183
2000,11,A8888,M,179
2000,11,A8989,M,192
2000,11,A9090,M,600
2000,11,A0000,F,15852
2000,11,A0101,F,15958
2000,11,A0202,F,15978
2000,11,A0303,F,15980
2000,11,A0404,F,15970
2000,11,A0505,F,15954
2000,11,A0606,F,15946
2000,11,A0707,F,15951
2000,11,A0808,F,15900
2000,11,A0909,F,15814
2000,11,A1010,F,15771
2000,11,A1111,F,15776
2000,11,A1212,F,15796
2000,11,A1313,F,15796
2000,11,A1414,F,15746
2000,11,A1515,F,15642
2000,11,A1616,F,15449
2000,11,A1717,F,15197
2000,11,A1818,F,14925
2000,11,A1919,F,14647
2000,11,A2020,F,14322
2000,11,A2121,F,13957
2000,11,A2222,F,13574
2000,11,A2323,F,13188
2000,11,A2424,F,12830
2000,11,A2525,F,12510
2000,11,A2626,F,12234
2000,11,A2727,F,11970
2000,11,A2828,F,11696
2000,11,A2929,F,11386
2000,11,A3030,F,11090
2000,11,A3131,F,10800
2000,11,A3232,F,10523
2000,11,A3333,F,10252
2000,11,A3434,F,9988
2000,11,A3535,F,9696
2000,11,A3636,F,9386
2000,11,A3737,F,9044
2000,11,A3838,F,8748
2000,11,A3939,F,8404
2000,11,A4040,F,8056
2000,11,A4141,F,7712
2000,11,A4242,F,7368
