ANO,UFCOD,IDADE,SEXO,POPULACAO
2002,11,A0000,M,15946
2002,11,A0101,M,15920
2002,11,A0202,M,15929
2002,11,A0303,M,16016
2002,11,A0404,M,16010
2002,11,A0505,M,15949
2002,11,A0606,M,15904
2002,11,A0707,M,15867
2002,11,A0808,M,15869
2002,11,A0909,M,15896
2002,11,A1010,M,15898
2002,11,A1111,M,15854
2002,11,A1212,M,15807
2002,11,A1313,M,15758
2002,11,A1414,M,15712
2002,11,A1515,M,15646
2002,11,A1616,M,15542
2002,11,A1717,M,15389
2002,11,A1818,M,15173
2002,11,A1919,M,14908
2002,11,A2020,M,14658
2002,11,A2121,M,14410
2002,11,A2222,M,14112
2002,11,A2323,M,13764
2002,11,A2424,M,13360
2002,11,A2525,M,12924
2002,11,A2626,M,12515
2002,11,A2727,M,12150
2002,11,A2828,M,11886
2002,11,A2929,M,11687
2002,11,A3030,M,11512
2002,11,A3131,M,11324
2002,11,A3232,M,11144
2002,11,A3333,M,10992
2002,11,A3434,M,10846
2002,11,A3535,M,10699
2002,11,A3636,M,10538
2002,11,A3737,M,10342
2002,11,A3838,M,10078
2002,11,A3939,M,9766
2002,11,A4040,M,9478
2002,11,A4141,M,9108
2002,11,A4242,M,8714
2002,11,A4343,M,8314
2002,11,A4444,M,7925
2002,11,A4545,M,7541
2002,11,A4646,M,7174
2002,11,A4747,M,6812
2002,11,A4848,M,6452
2002,11,A4949,M,6118
2002,11,A5050,M,5802
2002,11,A5151,M,5503
2002,11,A5252,M,5217
2002,11,A5353,M,4953
2002,11,A5454,M,4688
2002,11,A5555,M,4430
2002,11,A5656,M,4188
2002,11,A5757,M,3948
2002,11,A5858,M,3718
2002,11,A5959,M,3516
2002,11,A6060,M,3351
2002,11,A6161,M,3210
2002,11,A6262,M,3092
2002,11,A6363,M,2978
2002,11,A6464,M,2848
2002,11,A6565,M,2691
2002,11,A6666,M,2511
2002,11,A6767,M,2326
2002,11,A6868,M,2159
2002,11,A6969,M,1994
2002,11,A7070,M,1856
2002,11,A7171,M,1737
2002,11,A7272,M,1627
2002,11,A7373,M,1519
2002,11,A7474,M,1399
2002,11,A7575,M,1266
2002,11,A7676,M,1142
2002,11,A7777,M,1012
2002,11,A7878,M,880
2002,11,A7979,M,762
2002,11,A8080,M,670
2002,11,A8181,M,568
2002,11,A8282,M,478
2002,11,A8383,M,399
2002,11,A8484,M,332
2002,11,A8585,M,275
2002,11,A8686,M,231
2002,11,A8787,M,195
2002,11,A8888,M,169
2002,11,A8989,M,151
2002,11,A9090,M,647
2002,11,A0000,F,15367
2002,11,A0101,F,15490
2002,11,A0202,F,15620
2002,11,A0303,F,15775
2002,11,A0404,F,15810
2002,11,A0505,F,15816
2002,11,A0606,F,15812
2002,11,A0707,F,15804
2002,11,A0808,F,15804
2002,11,A0909,F,15816
2002,11,A1010,F,15768
2002,11,A1111,F,15690
2002,11,A1212,F,15646
2002,11,A1313,F,15642
2002,11,A1414,F,15652
2002,11,A1515,F,15650
2002,11,A1616,F,15594
2002,11,A1717,F,15478
2002,11,A1818,F,15274
2002,11,A1919,F,15013
2002,11,A2020,F,14738
2002,11,A2121,F,14476
2002,11,A2222,F,14182
2002,11,A2323,F,13856
2002,11,A2424,F,13510
2002,11,A2525,F,13153
2002,11,A2626,F,12804
2002,11,A2727,F,12474
2002,11,A2828,F,12180
2002,11,A2929,F,11892
2002,11,A3030,F,11597
2002,11,A3131,F,11276
2002,11,A3232,F,10973
2002,11,A3333,F,10681
2002,11,A3434,F,10400
2002,11,A3535,F,10133
2002,11,A3636,F,9873
2002,11,A3737,F,9590
2002,11,A3838,F,9292
2002,11,A3939,F,8960
2002,11,A4040,F,8673
2002,11,A4141,F,8332
2002,11,A4242,F,7983
2002,11,A4343,F,7636
2002,11,A4444,F,7285
2002,11,A4545,F,6941
2002,11,A4646,F,6604
2002,11,A4747,F,6270
2002,11,A4848,F,5924
2002,11,A4949,F,5589
2002,11,A5050,F,5250
2002,11,A5151,F,4909
2002,11,A5252,F,4580
2002,11,A5353,F,4262
2002,11,A5454,F,3980
2002,11,A5555,F,3738
2002,11,A5656,F,3534
2002,11,A5757,F,3344
2002,11,A5858,F,3164
2002,11,A5959,F,2998
2002,11,A6060,F,2852
2002,11,A6161,F,2705
2002,11,A6262,F,2577
2002,11,A6363,F,2446
2002,11,A6464,F,2318
2002,11,A6565,F,2178
2002,11,A6666,F,2044
2002,11,A6767,F,1908
2002,11,A6868,F,1779
